"title","address","info","totalPrice","totalSellCount","unitPrice"
"新裕商务大厦","东城
       崇文门 
              /塔楼
                  / 2006年建成","30天成交0套
      |0套正在出租","37249元/m2","0套",""
"世纪大厦","东城
       灯市口 
              /塔楼
                  / 1996年建成","30天成交0套
      |0套正在出租","38252元/m2","3套",""
"自由季","东城
       广渠门 
              /塔板结合
                  / 2008年建成","30天成交0套
      |3套正在出租","38922元/m2","17套",""
"雍和大厦","东城
       东直门 
              /塔板结合
                  / 2000年建成","30天成交0套
      |0套正在出租","39055元/m2","2套",""
"北京商界","东城
       崇文门 
              /塔楼
                  / 2005年建成","30天成交0套
      |1套正在出租","39484元/m2","0套",""
"前门前酒店公寓","东城
       天坛 
              /塔板结合
                  / 2009年建成","30天成交0套
      |1套正在出租","42656元/m2","1套",""
"MOHO国际写字楼","东城
       东花市 
              /塔楼/塔板结合
                  / 2007年建成","30天成交0套
      |3套正在出租","42934元/m2","3套",""
"北京汇","东城
       崇文门 
              /塔楼
                  / 2007年建成","30天成交0套
      |1套正在出租","46947元/m2","0套",""
"华人一品大厦","东城
       东四 
              /塔楼/塔板结合
                  / 2007年建成","30天成交0套
      |5套正在出租","47703元/m2","10套",""
"北京INN","东城
       朝阳门内 
              /塔楼/板楼
                  / 2005年建成","30天成交0套
      |2套正在出租","48494元/m2","15套",""
"北京大都市","东城
       天坛 
              /塔楼
                  / 2002年建成","30天成交0套
      |0套正在出租","48499元/m2","0套",""
"天华公馆","东城
       崇文门 
              /塔楼
                  / 2009年建成","30天成交0套
      |1套正在出租","48718元/m2","4套",""
"凯德华玺","东城
       金宝街 
              /塔楼
                  / 2008年建成","30天成交0套
      |2套正在出租","50625元/m2","5套",""
"华世隆国际公寓","东城
       安贞 
              /塔楼
                  / 2001年建成","30天成交0套
      |6套正在出租","51276元/m2","6套",""
"正东国际大厦","东城
       东直门 
              /塔楼
                  / 2004年建成","30天成交0套
      |11套正在出租","52305元/m2","5套",""
"东外公馆","东城
       工体 
              /塔板结合
                  / 2008年建成","30天成交0套
      |0套正在出租","56288元/m2","5套",""
"沙子口路50号","东城
       永定门 
              /塔楼
                  / 1998年建成","30天成交0套
      |0套正在出租","57919元/m2","0套",""
"新世界中心","东城
       崇文门 
              /塔楼
                  / 1995年建成","共43个户型
        |
            30天成交0套
      |4套正在出租","58262元/m2","12套",""
"鸿安国际大厦","东城
       金宝街 
              /塔板结合
                  / 2002年建成","30天成交0套
      |1套正在出租","58887元/m2","0套",""
"桃杨路教师楼","东城
       永定门 
              /板楼
                  / 1999年建成","30天成交0套
      |0套正在出租","59813元/m2","0套",""
